iter	Passed	Remaining
0	17	1752
1	21	1038
2	24	791
3	27	666
4	31	595
5	34	546
6	38	510
7	42	486
8	46	465
9	50	451
10	53	435
11	57	422
12	61	408
13	64	398
14	68	388
15	72	380
16	76	372
17	80	364
18	83	357
19	88	352
20	92	349
21	97	344
22	101	338
23	104	330
24	108	324
25	112	318
26	115	312
27	119	306
28	122	300
29	126	294
30	129	289
31	133	283
32	137	279
33	140	273
34	145	269
35	148	263
36	152	258
37	155	254
38	173	271
39	179	269
40	185	266
41	190	263
42	194	258
43	198	252
44	202	246
45	205	240
46	208	235
47	211	229
48	215	223
49	218	218
50	221	213
51	225	208
52	228	202
53	231	197
54	234	192
55	237	186
56	241	181
57	243	176
58	246	171
59	250	166
60	253	162
61	256	157
62	259	152
63	262	147
64	265	143
65	268	138
66	271	133
67	274	129
68	277	124
69	280	120
70	284	116
71	287	111
72	290	107
73	293	103
74	297	99
75	300	94
76	303	90
77	306	86
78	309	82
79	312	78
80	315	74
81	319	70
82	322	66
83	326	62
84	329	58
85	333	54
86	336	50
87	340	46
88	344	42
89	347	38
90	350	34
91	353	30
92	357	26
93	360	22
94	363	19
95	366	15
96	369	11
97	373	7
98	377	3
99	379	0
